track_id,segments_loudness_max_mean,segments_loudness_max_std,bars_confidence_mean,bars_confidence_std,beats_confidence_mean,beats_confidence_std
TRAAABD128F429CF47,-12.45060909,5.957375308,0.122561644,0.138748515,0.730807432,0.167677236
TRAAAEF128F4273421,-11.11493423,6.538180775,0.118608696,0.149042725,0.621876623,0.179865281
TRAAAFD128F92F423A,-6.513164933,3.950941839,0.127936364,0.155578117,0.435171171,0.172636569
TRAAARJ128F9320760,-16.50077961,6.312789855,0.139043011,0.191591743,0.283727034,0.182482701
TRAABJV128F1460C49,-10.41909784,5.331616004,0.118853774,0.094759937,0.665238619,0.156175684
TRAABLR128F423B7E3,-12.97675491,6.077349398,0.143764228,0.168388033,0.413669697,0.167187794
TRAABVM128F92CA9DC,-8.013008413,4.545557187,0.206666667,0.188748919,0.546410364,0.209806476
TRAACER128F4290F96,-6.15522114,4.141348273,0.09521831,0.112470035,0.347033217,0.195953989
TRAACFV128F935E50B,-14.2265028,4.88022457,0.105871429,0.130792193,0.609705263,0.156100791
TRAACHN128F1489601,-7.682428125,4.638254733,0.349076175,0.212135699,0.349076175,0.212135699
TRAADLH12903CA70EE,-2.899257042,1.887158858,0.116878049,0.162924073,0.378738095,0.178860488
TRAADNA128F9331246,-9.850787363,3.7322555,0.125294118,0.140367845,0.669511482,0.141016587
TRAADQX128F422B4CF,-13.47640347,6.512907894,0.13190099,0.129467876,0.773864865,0.166931385
TRAADYB128F92D7E73,-15.45659639,6.45158993,0.077542857,0.034684573,0.363334262,0.153668183
TRAADYI128E078FB38,-15.52669982,6.592910914,0.074673267,0.096018471,0.780945946,0.156193218
TRAAENC128F1451DE9,-16.9813726,5.553502312,0.136915584,0.1880249,0.379032,0.159886587
TRAAFMS128F933AB23,-14.51627387,9.000963635,0.114315789,0.140452484,0.569586057,0.177004187
TRAAFUJ128F933F42B,-11.39932643,6.360116722,0.135859375,0.14948598,0.777746154,0.174654244
TRAAGCZ128F93210FD,-9.571330265,8.764376753,0.23704,0.316939613,0.570539216,0.174076382
TRAAGEC128E079252C,-16.06941104,7.123598487,0.143063636,0.166748437,0.657531532,0.170041983
